0,1
i,can
<s>,i
i,don't
d,we
we,ever
<s>,i
i,wan
so,i
i,can
<s>,they
they,don't
xxx,i
i,thing
should,i
i,make
isn't,she
she,lucky
<s>,i
i,wish
wish,we
we,could
peter,we
we,can't
yeah,i
i,forgot
<s>,i
i,am
<s>,we
we,don't
<s>,i
i,can
<s>,we
we,wanna
shall,we
we,get
<s>,they
they,don't
are,they
they,come
<s>,they
they,didn't
did,they
they,peter
am,i
i,doing
maybe,i
i,can
<s>,i
i,think
jacket,we
we,can
don't,we
we,go
oh,i
i,don't
<s>,i
i,see
<s>,i
i,think
no,i
i,didn't
that,i
i,meant
<s>,they
they,open
are,they
they,on
<s>,i
i,don't
no,i
i,guess
<s>,i
i,thought
<s>,i
i,thought
foot,i
i,hope
oh,i
i,thought
<s>,i
i,think
<s>,i
i,think
why,they
they,fit
<s>,he
he,just
<s>,i
i,don't
<s>,i
i,finished
so,he
he,took
did,he
he,really
so,we
we,gotta
did,we
we,order
what'm,i
i,gonna
can,i
i,please
no,i
i,can't
<s>,i
i,didn't
<s>,i
i,remember
<s>,he
he,probably
<s>,i
i,didn't
<s>,i
i,think
now,i
i,lay
oh,he
he,had
so,they
they,can
<s>,they
they,wan
<s>,i
i,see
when,they
they,come
then,i
i,think
no,she
she,just
been,i
i,went
that,i
i,know
well,i
i,think
<s>,i
i,like
<s>,we
we,haven't
that,i
i,should
shall,we
we,take
does,she
she,live
<s>,we
we,play
if,she
she,wants
did,they
they,bring
did,they
they,bring
if,they
they,want
<s>,i
i,don't
<s>,i
i,don't
<s>,she
she,left
and,we
we,don't
<s>,we
we,don't
that,she
she,was
<s>,i
i,think
like,i
i,told
<s>,she
she,was
<s>,she
she,knows
here,i
i,got
well,they
they,can
remember,i
i,said
<s>,they
they,just
<s>,i
i,don't
<s>,he
he,thinks
thinks,i
i,make
where,i
i,just
<s>,i
i,think
<s>,i
i,thought
did,she
she,bite
did,she
she,bite
if,we
we,can
if,i
i,can
can,i
i,have
<s>,i
i,don't
no,she
she,hasta
here,she
she,comes
and,we
we,don't
and,we
we,had
yeah,he
he,went
horse,they
they,ride
but,i
i,think
<s>,i
i,don't
<s>,we
we,went
and,he
he,measured
<s>,i
i,don't
no,they
they,go
<s>,i
i,guess
oh,i
i,don't
oh,i
i,think
no,i
i,meant
<s>,we
we,don't
and,they
they,hadta
<s>,i
i,think
<s>,i
i,just
because,i
i,<\s>
well,i
i,think
think,they
they,use
<s>,i
i,don't
think,they
they,have
do,they
they,<\s>
if,they
they,have
<s>,he
he,sure
oh,he
he,did
where,we
we,useta
if,they
they,fit
like,they
they,will
<s>,i
i,know
<s>,i
i,like
<s>,i
i,don't
<s>,i
i,see
when,we
we,take
a,she
she,has
do,i
i,know
<s>,we
we,useta
<s>,they
they,don't
which,he
he,keeps
keeps,he
he,based
then,he
he,put
