0,1,2
not,gonna,pour
gonna,pour,it
pour,it,there
it,there,i'll
there,i'll,spill
i'll,spill,it
spill,it,<\s>
<s>,put,your
put,your,cup
your,cup,down
cup,down,<\s>
<s>,i'll,pour
i'll,pour,you
pour,you,some
you,some,juice
some,juice,put
juice,put,it
put,it,down
it,down,<\s>
<s>,oh,you
oh,you,want
you,want,to
want,to,put
to,put,that
put,that,back
that,back,in
back,in,oh
in,oh,i
oh,i,see
i,see,<\s>
<s>,what,<\s>
<s>,do,you
do,you,want
you,want,me
want,me,to
me,to,wash
to,wash,it
wash,it,out
it,out,<\s>
<s>,more,<\s>
<s>,i,don't
i,don't,think
don't,think,you
think,you,wanna
you,wanna,drink
wanna,drink,any
drink,any,more
any,more,do
more,do,you
do,you,<\s>
<s>,you,had
you,had,enough
had,enough,juice
enough,juice,huh
juice,huh,you
huh,you,don't
you,don't,wanna
don't,wanna,spoil
wanna,spoil,your
spoil,your,dinner
your,dinner,hm
dinner,hm,<\s>
<s>,shall,i
shall,i,wash
i,wash,this
wash,this,out
this,out,<\s>
<s>,water,<\s>
<s>,you,want
you,want,water
want,water,<\s>
<s>,what,<\s>
<s>,do,you
do,you,wanna
you,wanna,pour
wanna,pour,it
pour,it,out
it,out,<\s>
<s>,that's,it
that's,it,that's
it,that's,it
that's,it,no
it,no,more
no,more,<\s>
<s>,you,can
you,can,pour
can,pour,it
pour,it,out
it,out,if
out,if,you
if,you,don't
you,don't,want
don't,want,it
want,it,pour
it,pour,it
pour,it,out
it,out,if
out,if,you
if,you,don't
you,don't,want
don't,want,it
want,it,<\s>
<s>,pour,it
pour,it,<\s>
<s>,you,want
you,want,me
want,me,to
me,to,pour
to,pour,it
pour,it,<\s>
<s>,no,more
no,more,<\s>
<s>,i,think
i,think,she
think,she,wants
she,wants,her
wants,her,cup
her,cup,now
cup,now,don't
now,don't,you
don't,you,<\s>
<s>,uh,<\s>
<s>,what,a
what,a,scream
a,scream,<\s>
<s>,what's,that
what's,that,<\s>
<s>,broke,yeah
broke,yeah,ouch
yeah,ouch,<\s>
<s>,yeah,can
yeah,can,we
can,we,fix
we,fix,it
fix,it,<\s>
<s>,can,we
can,we,fix
we,fix,it
fix,it,<\s>
<s>,what,is
what,is,it
is,it,<\s>
<s>,the,wheel
the,wheel,<\s>
<s>,the,wheel
the,wheel,go
wheel,go,in
go,in,there
in,there,<\s>
<s>,where's,the
where's,the,wheel
the,wheel,here's
wheel,here's,the
here's,the,wheel
the,wheel,peter
wheel,peter,<\s>
<s>,wheel,<\s>
<s>,here's,the
here's,the,big
the,big,wheel
big,wheel,<\s>
<s>,is,that
is,that,how
that,how,it
how,it,works
it,works,<\s>
<s>,works,<\s>
<s>,peekaboo,<\s>
<s>,behind,you
behind,you,peter
you,peter,<\s>
<s>,xxx,wheel
xxx,wheel,one
wheel,one,more
one,more,wheel
more,wheel,<\s>
<s>,it's,pretty
it's,pretty,nice
pretty,nice,when
nice,when,people
when,people,bring
people,bring,toys
bring,toys,to
toys,to,play
to,play,with
play,with,when
with,when,they
when,they,come
they,come,to
come,to,visit
to,visit,instead
visit,instead,of
instead,of,just
of,just,playing
just,playing,with
playing,with,yours
with,yours,isn't
yours,isn't,it
isn't,it,<\s>
<s>,is,that
is,that,heavy
that,heavy,<\s>
<s>,is,that
is,that,heavy
that,heavy,<\s>
<s>,no,we're
no,we're,not
we're,not,going
not,going,we're
going,we're,not
we're,not,going
not,going,to
going,to,take
to,take,the
take,the,toys
the,toys,out
toys,out,<\s>
<s>,what's,that
what's,that,<\s>
<s>,you,know
you,know,what
know,what,that
what,that,is
that,is,<\s>
<s>,a,what
a,what,<\s>
<s>,a,slide
a,slide,<\s>
<s>,no,let's
no,let's,leave
let's,leave,them
leave,them,there
them,there,leave
there,leave,them
leave,them,in
them,in,there
in,there,okay
there,okay,<\s>
<s>,why,don't
why,don't,you
don't,you,help
you,help,her
help,her,put
her,put,the
put,the,blocks
the,blocks,in
blocks,in,the
in,the,can
the,can,<\s>
<s>,what,do
what,do,you
do,you,have
you,have,there
have,there,<\s>
<s>,zip,right
zip,right,you
right,you,better
you,better,zip
better,zip,him
zip,him,up
him,up,he
up,he,needs
he,needs,to
needs,to,be
to,be,zipped
be,zipped,up
zipped,up,<\s>
<s>,xxx,<\s>
<s>,you,know
you,know,what
know,what,they
what,they,are
they,are,don't
are,don't,you
don't,you,<\s>
<s>,what,<\s>
<s>,pretty,yes
pretty,yes,they
yes,they,are
they,are,very
are,very,pretty
very,pretty,they're
pretty,they're,colored
they're,colored,blocks
colored,blocks,that's
blocks,that's,what's
that's,what's,in
what's,in,there
in,there,<\s>
<s>,and,he
and,he,says
he,says,box
says,box,sometimes
box,sometimes,<\s>
<s>,shoe,<\s>
<s>,you,gonna
you,gonna,take
gonna,take,your
take,your,shoes
your,shoes,off
shoes,off,<\s>
<s>,that's,right
that's,right,that's
right,that's,right
that's,right,<\s>
<s>,do,you
do,you,know
you,know,how
know,how,to
how,to,get
to,get,that
get,that,open
that,open,<\s>
<s>,that,one's
that,one's,got
one's,got,jennifer's
got,jennifer's,clothes
jennifer's,clothes,in
clothes,in,it
in,it,pete
it,pete,that's
pete,that's,full
that's,full,<\s>
<s>,doesn't,have
doesn't,have,very
have,very,good
very,good,pictures
good,pictures,in
pictures,in,it
in,it,<\s>
<s>,no,<\s>
<s>,here,let
here,let,me
let,me,put
me,put,it
put,it,on
it,on,your
on,your,there
your,there,<\s>
<s>,we'll,leave
we'll,leave,it
leave,it,over
it,over,there
over,there,okay
there,okay,<\s>
<s>,no,that's
no,that's,a_lot_of
that's,a_lot_of,junk
a_lot_of,junk,in
junk,in,there
in,there,we
there,we,don't
we,don't,wanna
don't,wanna,mess
wanna,mess,it
mess,it,all
it,all,over
all,over,all
over,all,over
all,over,the
over,the,carpet
the,carpet,it's
carpet,it's,not
it's,not,a
not,a,rubber
a,rubber,band
rubber,band,<\s>
<s>,can,you
can,you,put
you,put,in
put,in,on
in,on,as
on,as,a
as,a,bracelet
a,bracelet,xxx
bracelet,xxx,<\s>
<s>,see,it
see,it,<\s>
<s>,does,patsy
does,patsy,want
patsy,want,you
want,you,to
you,to,close
to,close,it
close,it,<\s>
<s>,be,gentle
be,gentle,right
gentle,right,<\s>
<s>,yeah,it's
yeah,it's,closed
it's,closed,<\s>
<s>,yeah,<\s>
<s>,what,do
what,do,you
do,you,wanna
you,wanna,see
wanna,see,<\s>
<s>,alright,<\s>
<s>,see,the
see,the,flag
the,flag,<\s>
<s>,it's,pretty
it's,pretty,clear
pretty,clear,<\s>
<s>,top,<\s>
<s>,you,wan
you,wan,look
wan,look,through
look,through,it
through,it,<\s>
<s>,right,there
right,there,<\s>
<s>,you,looking
you,looking,at
looking,at,that
at,that,car
that,car,over
car,over,there
over,there,<\s>
<s>,light,<\s>
<s>,more,<\s>
<s>,what,<\s>
<s>,did,you
did,you,go
you,go,swimming
go,swimming,peter
swimming,peter,<\s>
<s>,did,you
did,you,go
you,go,swimming
go,swimming,with
swimming,with,daddy
with,daddy,<\s>
<s>,he'll,be
he'll,be,home
be,home,soon
home,soon,<\s>
<s>,do,you
do,you,see
you,see,the
see,the,trees
the,trees,out
trees,out,there
out,there,peter
there,peter,<\s>
<s>,what,do
what,do,you
do,you,say
you,say,<\s>
<s>,want,me
want,me,to
me,to,put
to,put,it
put,it,on
it,on,<\s>
<s>,okay,why
okay,why,don't
why,don't,you
don't,you,get
you,get,the
get,the,boys
the,boys,<\s>
<s>,milk,<\s>
<s>,can,you
can,you,put
you,put,it
put,it,together
it,together,<\s>
<s>,okay,<\s>
<s>,you,gonna
you,gonna,keep
gonna,keep,it
keep,it,on
it,on,the
on,the,rug
the,rug,<\s>
<s>,that,doesn't
that,doesn't,no
doesn't,no,it
no,it,doesn't
it,doesn't,have
doesn't,have,a
have,a,hook
a,hook,<\s>
<s>,go,on
go,on,the
on,the,front
the,front,yeah
front,yeah,hm
yeah,hm,<\s>
<s>,go,up
go,up,here
up,here,<\s>
<s>,xxx,fall
xxx,fall,apart
fall,apart,not
apart,not,if
not,if,you
if,you,don't
you,don't,juggle
don't,juggle,it
juggle,it,around
it,around,like
around,like,that
like,that,<\s>
<s>,what's,the
what's,the,matter
the,matter,<\s>
<s>,you,ready
you,ready,for
ready,for,a
for,a,nap
a,nap,<\s>
<s>,you,know
you,know,what
know,what,you've
what,you've,got
you've,got,in
got,in,there
in,there,<\s>
<s>,you,like
you,like,to
like,to,write
to,write,too
write,too,don't
too,don't,you
don't,you,peter
you,peter,<\s>
<s>,i,just
i,just,finished
just,finished,cleaning
finished,cleaning,the
cleaning,the,walls
the,walls,<\s>
<s>,but,you
but,you,didn't
you,didn't,get
didn't,get,to
get,to,the
to,the,ceiling
the,ceiling,did
ceiling,did,you
did,you,<\s>
<s>,now,you
now,you,know
you,know,you're
know,you're,not
you're,not,s
not,s,to
s,to,<\s>
<s>,stay,on
stay,on,the
on,the,paper
the,paper,<\s>
<s>,don't,<\s>
<s>,hm,<\s>
<s>,want,me
want,me,to
me,to,write
to,write,on
write,on,the
on,the,paper
the,paper,<\s>
<s>,pencil,<\s>
<s>,what,<\s>
<s>,xxx,<\s>
<s>,peter,what
peter,what,<\s>
<s>,what's,your
what's,your,last
your,last,name
last,name,<\s>
<s>,do,you
do,you,know
you,know,your
know,your,last
your,last,name
last,name,<\s>
<s>,oh,you
oh,you,don't
you,don't,know
don't,know,you
know,you,last
you,last,name
last,name,do
name,do,you
do,you,<\s>
<s>,peter,hentschke
peter,hentschke,<\s>
<s>,what's,your
what's,your,father's
your,father's,name
father's,name,<\s>
<s>,what's,daddy's
what's,daddy's,name
daddy's,name,<\s>
<s>,what,do
what,do,you
do,you,call
you,call,him
call,him,<\s>
<s>,what,do
what,do,you
do,you,call
you,call,him
call,him,sometimes
him,sometimes,<\s>
<s>,peter,<\s>
<s>,peter,do
peter,do,you
do,you,call
you,call,daddy
call,daddy,gib
daddy,gib,<\s>
<s>,gib,<\s>
<s>,b,is
b,is,for
is,for,baby
for,baby,and
baby,and,boy
and,boy,<\s>
<s>,no,that's
no,that's,patsy's
that's,patsy's,<\s>
<s>,peter,why
peter,why,don't
why,don't,you
don't,you,help
you,help,her
help,her,<\s>
<s>,peter,where's
peter,where's,the
where's,the,where's
the,where's,the
where's,the,<\s>
<s>,peter,what
peter,what,does
what,does,the
does,the,cow
the,cow,say
cow,say,<\s>
<s>,moo,<\s>
<s>,is,this
is,this,a
this,a,dog
a,dog,<\s>
<s>,oh,you
oh,you,want
you,want,it
want,it,on
it,on,your
on,your,finger
your,finger,there
finger,there,there
there,there,oops
there,oops,<\s>
<s>,did,it
did,it,fall
it,fall,off
fall,off,did
off,did,it
did,it,fall
it,fall,off
fall,off,<\s>
<s>,fix,<\s>
<s>,it's,too
it's,too,small
too,small,a
small,a,finger
a,finger,isn't
finger,isn't,it
isn't,it,<\s>
<s>,gentle,peter
gentle,peter,xxx
peter,xxx,<\s>
<s>,can,you
can,you,say
you,say,you're
say,you're,sorry
you're,sorry,<\s>
<s>,that's,not
that's,not,very
not,very,nice
very,nice,<\s>
<s>,well,just
well,just,a
just,a,second
a,second,you've
second,you've,got
you've,got,help
got,help,them
help,them,put
them,put,their
put,their,toys
their,toys,away
toys,away,<\s>
<s>,no,i
no,i,think
i,think,it's
think,it's,finally
it's,finally,broken
finally,broken,that's
broken,that's,the
that's,the,little
the,little,cement
little,cement,mixer
cement,mixer,<\s>
<s>,take,it
take,it,back
it,back,in
back,in,the
in,the,living
the,living,room
living,room,<\s>
<s>,tools,<\s>
<s>,peter,<\s>
<s>,you're,not
you're,not,s
not,s,to
s,to,run
to,run,things
run,things,on
things,on,the
on,the,wall
the,wall,<\s>
<s>,you,know
you,know,that
know,that,<\s>
<s>,peter,can
peter,can,you
can,you,say
you,say,thank_you
say,thank_you,very
thank_you,very,much
very,much,for
much,for,coming
for,coming,to
coming,to,see
to,see,you
see,you,<\s>
<s>,it's,snowing
it's,snowing,<\s>
<s>,xxx,<\s>
<s>,they,probably
they,probably,don't
probably,don't,<\s>
<s>,xxx,we
xxx,we,drove
we,drove,back
drove,back,<\s>
<s>,peter,say
peter,say,california
say,california,<\s>
<s>,you,don't
you,don't,know
don't,know,who
know,who,you're
who,you're,gonna
you're,gonna,see
gonna,see,<\s>
<s>,and,bill's
and,bill's,my
bill's,my,brother
my,brother,that
brother,that,he
that,he,really
he,really,loves
really,loves,<\s>
<s>,yes,and
yes,and,jack
and,jack,and
jack,and,anne
and,anne,annie
anne,annie,and
annie,and,mary
and,mary,<\s>
<s>,take,them
take,them,out_of
them,out_of,your
out_of,your,mouth
your,mouth,they're
mouth,they're,not
they're,not,that's
not,that's,not
that's,not,food
not,food,<\s>
<s>,take,it
take,it,out_of
it,out_of,your
out_of,your,mouth
your,mouth,please
mouth,please,<\s>
<s>,please,take
please,take,them
take,them,out
them,out,<\s>
<s>,peter,don't
peter,don't,put
don't,put,them
put,them,in
them,in,your
in,your,mouth
your,mouth,<\s>
<s>,no,don't
no,don't,do
don't,do,it
do,it,<\s>
<s>,take,em
take,em,out_of
em,out_of,your
out_of,your,mouth
your,mouth,<\s>
<s>,please,peter
please,peter,take
peter,take,them
take,them,out_of
them,out_of,your
out_of,your,mouth
your,mouth,i
mouth,i,give
i,give,you
give,you,<\s>
<s>,if,you
if,you,wanna
you,wanna,eat
wanna,eat,something
eat,something,i'll
something,i'll,give
i'll,give,you
give,you,a
you,a,cookie
a,cookie,but
cookie,but,take
but,take,those
take,those,out_of
those,out_of,your
out_of,your,mouth
your,mouth,<\s>
<s>,you're,the
you're,the,cookie
the,cookie,monster
cookie,monster,<\s>
<s>,yeah,i'll
yeah,i'll,get
i'll,get,you
get,you,a
you,a,cookie
a,cookie,<\s>
<s>,that'll,be
that'll,be,nice
be,nice,peter
nice,peter,<\s>
<s>,xxx,toys
xxx,toys,away
toys,away,<\s>
<s>,your,ears
your,ears,what
ears,what,hurts
what,hurts,your
hurts,your,ears
your,ears,<\s>
<s>,does,daddy
does,daddy,play
daddy,play,the
play,the,piano
the,piano,<\s>
<s>,i,mean
i,mean,peter
mean,peter,<\s>
<s>,oh,peter
oh,peter,plays
peter,plays,the
plays,the,piano
the,piano,<\s>
<s>,peter,you
peter,you,let
you,let,lois
let,lois,put
lois,put,that
put,that,in
that,in,the
in,the,box
the,box,<\s>
<s>,peter,put
peter,put,it
put,it,on
it,on,the
on,the,box
the,box,come
box,come,on
come,on,<\s>
<s>,peter,will
peter,will,you
will,you,please
you,please,put
please,put,it
put,it,in
it,in,the
in,the,box
the,box,<\s>
<s>,come,on
come,on,<\s>
<s>,put,it
put,it,in
it,in,the
in,the,box
the,box,<\s>
<s>,peter,it's
peter,it's,not
it's,not,yours
not,yours,<\s>
<s>,it's,patsy's
it's,patsy's,and
patsy's,and,loi's
and,loi's,put
loi's,put,it
put,it,in
it,in,the
in,the,box
the,box,and
box,and,you
and,you,can
you,can,see
can,see,it
see,it,when
it,when,they
when,they,come
they,come,again
come,again,<\s>
<s>,they'll,bring
they'll,bring,it
bring,it,okay
it,okay,<\s>
<s>,do,you
do,you,hear
you,hear,jennifer
hear,jennifer,crying
jennifer,crying,<\s>
<s>,is,jennifer
is,jennifer,crying
jennifer,crying,<\s>
<s>,xxx,<\s>
<s>,you'll,get
you'll,get,the
get,the,operator
the,operator,<\s>
<s>,you,know
you,know,what
know,what,that
what,that,is
that,is,<\s>
<s>,right,back
right,back,jenny
back,jenny,<\s>
<s>,you,going
you,going,back
going,back,to
back,to,see
to,see,her
see,her,<\s>
<s>,they're,gonna
they're,gonna,put
gonna,put,their
put,their,toys
their,toys,away
toys,away,<\s>
<s>,i,think
i,think,the
think,the,toys
the,toys,are
toys,are,gonna
are,gonna,go
gonna,go,home
go,home,<\s>
<s>,xxx,<\s>
<s>,wan,sit
wan,sit,up
sit,up,there
up,there,<\s>
<s>,is,that
is,that,what
that,what,you
what,you,said
you,said,<\s>
<s>,sit,up
sit,up,there
up,there,<\s>
<s>,what,cha
what,cha,you
cha,you,doin
you,doin,<\s>
<s>,where,are
where,are,you
are,you,don't
you,don't,like
don't,like,it
like,it,<\s>
<s>,an,elephant
an,elephant,<\s>
<s>,hand,<\s>
<s>,got,in
got,in,his
in,his,hand
his,hand,<\s>
<s>,right,you
right,you,are
you,are,again
are,again,<\s>
<s>,no,that's
no,that's,patsy
that's,patsy,<\s>
<s>,xxx,<\s>
<s>,it's,cold
it's,cold,outside
cold,outside,<\s>
<s>,xxx,<\s>
<s>,sweetie,<\s>
<s>,yyy,<\s>
<s>,daddy,is
daddy,is,at
is,at,school
at,school,<\s>
<s>,he'll,be
he'll,be,home
be,home,in
home,in,a
in,a,while
a,while,<\s>
<s>,no,he
no,he,busy
he,busy,he
busy,he,has
he,has,a
has,a,few
a,few,things
few,things,to
things,to,do
to,do,he'll
do,he'll,come
he'll,come,soon
come,soon,<\s>
<s>,sooner,than
sooner,than,you
than,you,think
you,think,<\s>
<s>,xxx,<\s>
<s>,no,more
no,more,<\s>
<s>,i,don't
i,don't,want
don't,want,you
want,you,to
you,to,spoil
to,spoil,your
spoil,your,dinner
your,dinner,<\s>
<s>,xxx,<\s>
<s>,no,more
no,more,honey
more,honey,you'll
honey,you'll,spoil
you'll,spoil,you
spoil,you,dinner
you,dinner,<\s>
<s>,xxx,show
xxx,show,them
show,them,your
them,your,hippopotamus
your,hippopotamus,<\s>
<s>,xxx,<\s>
<s>,he,getting
he,getting,some
getting,some,scrambled
some,scrambled,eggs
scrambled,eggs,<\s>
<s>,you,wan
you,wan,go
wan,go,pottie
go,pottie,<\s>
<s>,you,wan
you,wan,go
wan,go,now
go,now,<\s>
<s>,hi,peter
hi,peter,<\s>
<s>,it,didn't
it,didn't,ring
didn't,ring,xxx
ring,xxx,did
xxx,did,you
did,you,think
you,think,you
think,you,heard
you,heard,the
heard,the,telephone
the,telephone,<\s>
<s>,it,didn't
it,didn't,ring
didn't,ring,<\s>
<s>,nobody's,there
nobody's,there,it
there,it,didn't
it,didn't,ring
didn't,ring,<\s>
<s>,peter,you
peter,you,hafta
you,hafta,tell
hafta,tell,her
tell,her,what
her,what,you
what,you,want
you,want,<\s>
<s>,peter,go
peter,go,sit
go,sit,go
sit,go,get
go,get,you
get,you,chair
you,chair,where's
chair,where's,you
where's,you,chair
you,chair,<\s>
<s>,go,get
go,get,your
get,your,chair
your,chair,<\s>
<s>,where's,your
where's,your,chair
your,chair,<\s>
<s>,it's,in
it's,in,your
in,your,room
your,room,<\s>
<s>,peter,that's
peter,that's,stale
