predictor,case
oh,NOM
after,NOM
back,NOM
did,NOM
remember,NOM
<s>,NOM
<s>,NOM
are,NOM
<s>,NOM
don't,NOM
yesterday,NOM
him,NOM
him,NOM
and,NOM
and,NOM
and,NOM
and,NOM
aimee,NOM
<s>,NOM
mhm,NOM
<s>,NOM
<s>,NOM
<s>,NOM
maybe,NOM
think,NOM
well,NOM
is,NOM
did,NOM
<s>,NOM
<s>,NOM
<s>,NOM
<s>,NOM
remember,NOM
what,NOM
and,NOM
<s>,NOM
and,NOM
because,NOM
when,NOM
when,NOM
and,NOM
and,NOM
<s>,NOM
can,NOM
yes,NOM
<s>,NOM
<s>,NOM
and,NOM
well,NOM
<s>,NOM
there,NOM
second,NOM
when,NOM
shall,NOM
did,NOM
before,NOM
come,NOM
but,NOM
can,NOM
well,NOM
think,NOM
if,NOM
it,NOM
it,NOM
<s>,NOM
d,NOM
<s>,NOM
so,NOM
<s>,NOM
xxx,NOM
should,NOM
isn't,NOM
<s>,NOM
wish,NOM
peter,NOM
yeah,NOM
<s>,NOM
<s>,NOM
<s>,NOM
<s>,NOM
shall,NOM
<s>,NOM
are,NOM
<s>,NOM
did,NOM
am,NOM
maybe,NOM
<s>,NOM
jacket,NOM
don't,NOM
oh,NOM
<s>,NOM
<s>,NOM
no,NOM
that,NOM
<s>,NOM
are,NOM
<s>,NOM
no,NOM
<s>,NOM
<s>,NOM
foot,NOM
oh,NOM
<s>,NOM
<s>,NOM
why,NOM
<s>,NOM
<s>,NOM
<s>,NOM
so,NOM
did,NOM
so,NOM
did,NOM
what'm,NOM
can,NOM
no,NOM
<s>,NOM
<s>,NOM
<s>,NOM
<s>,NOM
<s>,NOM
now,NOM
oh,NOM
so,NOM
<s>,NOM
<s>,NOM
when,NOM
then,NOM
no,NOM
been,NOM
that,NOM
well,NOM
<s>,NOM
<s>,NOM
that,NOM
shall,NOM
does,NOM
<s>,NOM
if,NOM
did,NOM
did,NOM
if,NOM
<s>,NOM
<s>,NOM
<s>,NOM
and,NOM
<s>,NOM
that,NOM
<s>,NOM
like,NOM
<s>,NOM
<s>,NOM
here,NOM
well,NOM
remember,NOM
<s>,NOM
<s>,NOM
<s>,NOM
thinks,NOM
where,NOM
<s>,NOM
<s>,NOM
did,NOM
did,NOM
if,NOM
if,NOM
can,NOM
<s>,NOM
no,NOM
here,NOM
and,NOM
and,NOM
yeah,NOM
horse,NOM
but,NOM
<s>,NOM
<s>,NOM
and,NOM
<s>,NOM
no,NOM
<s>,NOM
oh,NOM
oh,NOM
no,NOM
<s>,NOM
and,NOM
<s>,NOM
<s>,NOM
because,NOM
well,NOM
think,NOM
<s>,NOM
think,NOM
do,NOM
if,NOM
<s>,NOM
oh,NOM
where,NOM
if,NOM
like,NOM
<s>,NOM
<s>,NOM
<s>,NOM
<s>,NOM
when,NOM
a,NOM
do,NOM
<s>,NOM
<s>,NOM
which,NOM
keeps,NOM
then,NOM
let,ACC
to,ACC
in,ACC
let,ACC
let,ACC
want,ACC
want,ACC
wants,ACC
leave,ACC
leave,ACC
help,ACC
zip,ACC
let,ACC
want,ACC
want,ACC
call,ACC
call,ACC
help,ACC
help,ACC
take,ACC
take,ACC
put,ACC
take,ACC
see,ACC
show,ACC
tell,ACC
of,ACC
want,ACC
on,ACC
want,ACC
got,ACC
to,ACC
telling,ACC
giving,ACC
want,ACC
feed,ACC
to,ACC
want,ACC
take,ACC
take,ACC
take,ACC
with,ACC
take,ACC
help,ACC
to,ACC
tell,ACC
want,ACC
want,ACC
want,ACC
want,ACC
keep,ACC
want,ACC
want,ACC
that's,ACC
to,ACC
give,ACC
give,ACC
to,ACC
want,ACC
want,ACC
of,ACC
let,ACC
of,ACC
want,ACC
watch,ACC
put,ACC
watch,ACC
makes,ACC
bothering,ACC
want,ACC
at,ACC
bend,ACC
promise,ACC
took,ACC
<s>,ACC
touching,ACC
put,ACC
want,ACC
want,ACC
put,ACC
put,ACC
want,ACC
want,ACC
excuse,ACC
in,ACC
got,ACC
put,ACC
put,ACC
for,ACC
of,ACC
give,ACC
to,ACC
put,ACC
touch,ACC
with,ACC
want,ACC
want,ACC
gave,ACC
grabbing,ACC
to,ACC
for,ACC
with,ACC
break,ACC
want,ACC
want,ACC
to,ACC
want,ACC
got,ACC
got,ACC
want,ACC
ask,ACC
ask,ACC
pass,ACC
<s>,ACC
from,ACC
wan,ACC
help,ACC
for,ACC
show,ACC
to,ACC
bring,ACC
tell,ACC
who,ACC
calling,ACC
tell,ACC
share,ACC
told,ACC
make,ACC
to,ACC
call,ACC
take,ACC
ask,ACC
like,ACC
get,ACC
from,ACC
to,ACC
with,ACC
help,ACC
bring,ACC
with,ACC
besides,ACC
for,ACC
for,ACC
put,ACC
let,ACC
let,ACC
of,ACC
want,ACC
want,ACC
by,ACC
lay,ACC
at,ACC
help,ACC
help,ACC
to,ACC
to,ACC
to,ACC
tell,ACC
that's,ACC
let,ACC
reminded,ACC
tell,ACC
keep,ACC
give,ACC
want,ACC
see,ACC
to,ACC
tell,ACC
want,ACC
make,ACC
<s>,ACC
show,ACC
scare,ACC
want,ACC
want,ACC
tie,ACC
around,ACC
see,ACC
see,ACC
teach,ACC
gi,ACC
leave,ACC
have,ACC
stick,ACC
putting,ACC
around,ACC
see,ACC
check,ACC
with,ACC
found,ACC
take,ACC
at,ACC
measured,ACC
for,ACC
for,ACC
show,ACC
show,ACC
not,ACC
tell,ACC
with,ACC
take,ACC
let,ACC
